"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.94","$71.45M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.59","$1.22B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.06","$115.74M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","5.54","$52M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","10.42","$101.44M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe           ",
"FCO","Aberdeen Global Income Fund, Inc.","7.747","$68.52M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","5.67","$53.78M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","16.391","$66.18M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","14.92","$50.29M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AIII","ACRE Realty Investors, Inc.","1.2499","$25.08M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"ATNM","Actinium Pharmaceuticals, Inc.","1.98","$83.19M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","33","$139.18M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","2.21","$43.98M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","19.6348","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"ACY","AeroCentury Corp.","12.57","$19.4M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"WGA","AG&E Holdings, Inc.","0.4309","$5.03M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"AIRI","Air Industries Group","6.23","$47.1M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AA^","Alcoa Inc.","83","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXU","Alexco Resource Corp","0.6988","$54.05M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AAU","Almaden Minerals, Ltd.","0.74","$57.77M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","1.71","$31.05M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","18.01","$39.86M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"DIT","AMCON Distributing Company","82.35","$50.18M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"ADGE","American DG Energy Inc.","0.32","$16.22M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"AFCO","American Farmland Company","5.8","$97.97M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/afco",
"ALN","American Lorain Corporation","1.1499","$43.99M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","1.82","$9.76M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AMPE","Ampio Pharmaceuticals, Inc.","2.3","$119.6M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"APHB","AmpliPhi Biosciences Corporation","3.26","$19.18M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.74","$56.39M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMCO","Armco Metals Holdings, Inc.","0.281","$2.29M","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",
"HRT","Arrhythmia Research Technology Inc.","4.384","$12.24M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2","$393.99M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"AINC","Ashford Inc.","38.2","$76.79M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws",
"AST","Asterias Biotherapeutics, Inc.","3.64","$137.02M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",
"AWX","Avalon Holdings Corporation","1.8499","$7.04M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"ASM","Avino Silver","1.07","$40.15M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","1.08","$1B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BTN","Ballantyne Strong, Inc","4.08","$57.79M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","10.4","$64.9M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","17.35","$88.61M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BAA","BANRO CORPORATION","0.26","$65.56M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","33.58","$201.39M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","1.31","$10.84M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BGSF","BG Staffing Inc","12.8844","$95.08M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BPMX","BioPharmX Corporation","1.53","$32.27M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx",
"BTX","BioTime, Inc.","2.35","$223M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws",
"BGI","Birks Group Inc.","0.251","$4.51M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BZM","BlackRock Maryland Municipal Bond Trust","15.6979","$32.6M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.365","$33.98M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","15.45","$362.62M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"BLJ","Blackrock New Jersey Municipal Bond Trust","15.78","$36.69M","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"BFY","BlackRock New York Municipal Income Trust II","15.8","$78.98M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy",
"BHV","BlackRock Virginia Municipal Bond Trust","19.34","$30.82M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"BDR","Blonder Tongue Laboratories, Inc.","0.4699","$3.08M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"BRG","Bluerock Residential Growth REIT, Inc.","10.35","$202.4M","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"BRG^A","Bluerock Residential Growth REIT, Inc.","25.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/brg^a",
"BVX","Bovie Medical Corporation","2.15","$58.47M","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"BWL.A","Bowl America, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bwl.a",
"BTI","British American Tobacco p.l.c.","108.48","$101.12B","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
